"JuhtumId","ToimKpv","ToimKell","ToimNadalapaev","ToimLoppKpv","ToimLoppKell","SyndmusLiik","SyndmusTaiendavStatLiik","SissetungimiseLiik","Valve","Seadus","Paragrahv","ParagrahvTais","Loige","Punkt","RikutudOigusnorm","Kahjusumma","KohtLiik","MaakondNimetus","ValdLinnNimetus","KohtNimetus","Lest_X_1","Lest_X_2","Lest_Y_1","Lest_Y_2","SoidukLiik","SoidukMark","SoidukVlAasta","SyyteoLiik","L-EST","Coord_X","Coord_Y"
"4cdc7210-cc8b-18d5-a4bc-97886cf239c4","2018-05-31","02:00","Neljapäev","2018-05-31","05:00","VARGUS","MOBIILTELEFONIVARGUS","UKS_LUKUSTAMATA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588000","6588499","738500","738999","","",NA,"KT","6588249.5,738749.5",59.36495859,28.20118259
"4cdc70d0-cc8b-18d5-a4bc-97886cf239c4","2018-05-30","07:05","Kolmapäev","","","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588500","6588999","737500","737999","","",NA,"VT","6588749.5,737749.5",59.36999878,28.18417979
"3a7b65a2-c6d4-18d5-a4bc-97886cf239c4","2018-05-24","21:50","Neljapäev","","","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","738000","738499","","",NA,"VT","6589249.5,738249.5",59.37419816,28.19350587
"3a7b6598-c6d4-18d5-a4bc-97886cf239c4","2018-05-24","21:35","Neljapäev","","","MUU,VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","738000","738499","","",NA,"VT","6589249.5,738249.5",59.37419816,28.19350587
"4cdc7076-cc8b-18d5-a4bc-97886cf239c4","2018-05-24","21:15","Neljapäev","2018-05-29","11:30","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","738000","738499","","",NA,"VT","6589249.5,738249.5",59.37419816,28.19350587
"eb2aceba-bbd5-18d5-9984-b441753e444c","2018-05-15","18:30","Teisipäev","","","VARGUS","MUU_VARGUS","VABA","VIDEOVALVE","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590500","6590999","737500","737999","","",NA,"KT","6590749.5,737749.5",59.38791672,28.1863737
"eb2ac6ea-bbd5-18d5-9984-b441753e444c","2018-05-12","01:00","Laupäev  ","","","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588000","6588499","737500","737999","","",NA,"VT","6588249.5,737749.5",59.36551927,28.18363167
"996e7d6e-14c8-18d6-a4bc-97886cf239c4","2018-05-10","","Neljapäev","2018-05-12","","VARGUS","MUU_VARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588000","6588499","738000","738499","","",NA,"KT","6588249.5,738249.5",59.36523922,28.1924072
"707ea85c-b5b9-18d5-9984-b441753e444c","2018-05-05","09:40","Laupäev  ","2018-05-08","10:00","VARGUS","MUU_VARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","737000","737499","","",NA,"KT","6590249.5,737249.5",59.38371686,28.17704476
"4aa1f060-b656-18d5-9984-b441753e444c","2018-05-05","06:47","Laupäev  ","","","MUU","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 201 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","737500","737999","","",NA,"VT","6589249.5,737749.5",59.37447828,28.18472805
